,0
2002,4.1026780048229465
1999,3.4371413268038866
2003,1.7921146953405016
2001,3.5876757063751255
2000,3.6218890091204208
2004,5.555555555555555
2005,0.0
2011,100.0
2006,0.0
2007,0.0
